år,uge,lottotal,tillægstal,6rigtige,5+rigtige,5rigtige,4rigtige,3rigtige
2011,38,2 7 13 26 30 42,10 31,3136956,121677,2487,99,38
2011,39,5 19 25 26 41 46,16 21,3807537,169593,2879,105,40
2011,40,13 17 19 20 28 34,10 45,2265762,60624,1803,93,37
2011,41,3 14 16 24 34 45,22 26,6743977,59676,2086,98,38
2011,42,2 13 14 26 32 45,21 36,7283340,105231,2580,100,39
2011,43,10 14 31 32 42 47,11 46,3513224,52216,2645,107,40
2011,44,5 14 16 24 38 46,15 30,2753867,156268,2582,105,39
2011,45,2 4 14 24 27 46,17 28,2851431,49157,2068,94,37
2011,46,3 4 7 8 34 39,19 27,1939101,64250,2248,96,37
2011,47,9 16 22 24 41 47,1 20,5546424,67842,2519,101,38
2011,48,3 8 10 27 30 41,9 44,2929091,60007,2284,95,37
2011,49,1 22 32 42 44 46,20 26,3606929,68282,2706,104,40
2011,50,2 11 34 36 44 48,45 47,0,91668,2506,103,39
2011,51,12 17 23 35 40 44,5 22,0,99491,2461,104,39
2011,52,4 14 30 40 44 45,15 39,11836797,103381,2749,103,39
2012,1,6 8 13 26 29 45,7 39,2651888,64709,2292,100,38
2012,2,4 14 17 38 39 42,7 16,3376481,78598,2466,104,39
2012,3,23 25 26 31 36 45,13 18,26004370,57875,2468,108,41
2012,4,27 31 35 36 40 48,13 33,0,136546,2593,112,41
2012,5,17 20 25 39 41 48,22 44,6056438,69723,2647,109,41
2012,6,5 11 13 20 29 44,10 38,2417553,144814,2083,96,37
2012,7,2 3 7 14 32 39,21 44,8089622,121078,2591,94,36
2012,8,1 10 14 18 42 48,15 20,7000000,76206,2527,105,39
2012,9,3 10 18 29 41 45,12 22,1447493,77902,2354,102,39
2012,10,16 38 44 46 47 48,5 15,0,226565,2250,96,42
2012,11,3 22 25 32 43 46,35 41,7350433,83812,2485,111,40
2012,12,8 13 17 22 29 32,10 41,17473511,57320,2151,86,35
2012,13,7 16 27 28 35 45,6 14,4031579,72369,2067,96,36
2012,14,23 24 34 37 39 44,26 41,4307348,77948,2164,107,42
2012,15,5 27 33 40 45 47,17 44,5246154,70277,2538,103,39
2012,16,9 32 34 39 43 44,35 36,0,107200,2493,107,40
2012,17,7 9 18 19 35 40,4 22,8042267,85382,5564,206,74
2012,18,2 7 12 17 23 39,11 14,3700259,36140,1981,91,36
2012,19,14 20 36 37 42 46,8 19,3500000,0,4218,152,46
2012,20,5 7 25 34 41 45,3 4,3863048,51964,2856,105,40
2012,21,11 21 23 42 44 47,2 5,0,260410,2785,102,39
2012,22,12 36 37 39 42 48,6 45,7924376,56289,3518,113,43
2012,23,4 5 12 42 46 48,6 14,1347428,37251,2877,111,41
2012,24,6 20 22 32 37 46,1 27,0,80906,2725,110,41
2012,25,2 6 10 31 34 37,23 33,8521225,120218,2657,107,39
2012,26,1 12 15 20 32 48,33 43,1463066,239175,2409,107,39
2012,27,9 10 12 18 23 36,44 48,4553982,120151,2532,95,37
2012,28,1 2 13 18 23 40,32 47,1169418,124236,2885,102,37
2012,29,3 7 12 20 26 39,25 45,3728799,126750,2409,97,37
2012,30,10 13 18 25 30 41,8 29,3500000,239543,2486,100,39
2012,31,6 11 19 21 24 41,27 33,0,44226,2356,95,36
2012,32,23 28 37 39 42 45,11 33,0,96016,2523,106,41
2012,33,1 10 16 17 31 46,22 34,8067468,55920,2582,104,39
2012,34,5 12 13 36 38 41,40 46,1795527,89843,2303,111,41
2012,35,16 21 34 36 43 47,12 17,2652133,34306,2679,105,40
